Total_Income,Total_Food_Expenditure,Restaurant_and_hotels_Expenditure,Alcoholic_Beverages_and_Tobacco_Expenditure,Clothing_Footwear_and_Other_Wear_Expenditure,House_Rent__Water_and_Electricity_Expenditure,Medical_Care_Expenditure,Transportation_Expenditure,Communication_Expenditure,Education_Expenditure,Miscellaneous_Goods_and_Services_Expenditure,Total_Expenses,Savings
132645.0,107630.0,4120.0,0.0,1830.0,41310.0,100.0,3576.0,1680.0,100.0,8028.0,168374.0,-35729.0
301423.0,262208.0,17060.0,504.0,3933.0,48804.0,1150.0,19920.0,4608.0,11957.0,15066.0,385210.0,-83787.0
143839.0,151582.0,0.0,1168.0,4280.0,61074.0,360.0,4800.0,1380.0,0.0,5586.0,230230.0,-86391.0
301240.0,216717.0,16040.0,1534.0,3430.0,65028.0,0.0,12120.0,2700.0,600.0,27966.0,346135.0,-44895.0
117410.0,197355.0,4450.0,9572.0,3110.0,15816.0,0.0,8700.0,2460.0,1650.0,7008.0,250121.0,-132711.0
191548.0,131906.0,0.0,5265.0,2830.0,27300.0,100.0,3600.0,540.0,0.0,4206.0,175747.0,15801.0
111764.0,134607.0,0.0,1080.0,1570.0,25200.0,128.0,960.0,420.0,0.0,3018.0,166983.0,-55219.0
226761.0,197587.0,9267.0,0.0,3125.0,39060.0,1470.0,15600.0,1800.0,0.0,13470.0,281379.0,-54618.0
153585.0,210603.0,20845.0,9260.0,8740.0,25200.0,220.0,8784.0,2760.0,2350.0,10770.0,299532.0,-145947.0
132060.0,169050.0,4285.0,6220.0,4860.0,27900.0,120.0,4800.0,270.0,100.0,5304.0,222909.0,-90849.0
264520.0,235185.0,700.0,10407.0,3380.0,35874.0,120.0,5598.0,1680.0,0.0,18702.0,311646.0,-47126.0
267970.0,197686.0,6285.0,3639.0,1750.0,49794.0,150.0,9660.0,3060.0,550.0,23454.0,296028.0,-28058.0
150721.0,189198.0,9888.0,7885.0,2860.0,21900.0,120.0,7200.0,960.0,700.0,9306.0,250017.0,-99296.0
163081.0,198510.0,4285.0,7937.0,2320.0,39240.0,194.0,5160.0,900.0,600.0,8988.0,268134.0,-105053.0
260631.0,200278.0,5980.0,4410.0,3170.0,48948.0,0.0,4320.0,3240.0,300.0,8856.0,279502.0,-18871.0
88420.0,66902.0,0.0,11645.0,600.0,24822.0,60.0,240.0,0.0,0.0,2148.0,106417.0,-17997.0
148088.0,170802.0,4120.0,2766.0,2970.0,24432.0,50.0,3720.0,1320.0,500.0,4440.0,215120.0,-67032.0
374779.0,314077.0,20325.0,17395.0,6330.0,66540.0,120.0,17520.0,2640.0,12300.0,13056.0,470303.0,-95524.0
190890.0,187804.0,900.0,5876.0,3150.0,46752.0,0.0,5340.0,1980.0,0.0,10140.0,261942.0,-71052.0
115832.0,155726.0,0.0,8545.0,1870.0,34074.0,120.0,780.0,720.0,0.0,6846.0,208681.0,-92849.0
171702.0,161839.0,900.0,7440.0,1650.0,42798.0,0.0,3540.0,1680.0,0.0,5310.0,225157.0,-53455.0
128305.0,204797.0,14220.0,10610.0,4870.0,43056.0,100.0,6720.0,2160.0,600.0,9006.0,296139.0,-167834.0
91955.0,134657.0,450.0,4790.0,1435.0,20952.0,120.0,1380.0,480.0,50.0,5874.0,170188.0,-78233.0
84369.0,105654.0,0.0,3240.0,1570.0,28752.0,145.0,1380.0,1080.0,0.0,4788.0,146609.0,-62240.0
174541.0,161922.0,2825.0,6129.0,2895.0,27660.0,198.0,4200.0,600.0,150.0,7080.0,213659.0,-39118.0
211966.0,240485.0,2895.0,9536.0,11430.0,31680.0,401.0,2880.0,1260.0,600.0,5226.0,306393.0,-94427.0
372972.0,343080.0,4230.0,4810.0,23220.0,61614.0,4090.0,12690.0,6000.0,3850.0,23100.0,486684.0,-113712.0
300324.0,166312.0,0.0,0.0,1450.0,26766.0,380.0,480.0,0.0,0.0,14124.0,209512.0,90812.0
235698.0,166679.0,4066.0,1440.0,3265.0,28212.0,430.0,3210.0,1428.0,280.0,21126.0,230136.0,5562.0
91700.0,114765.0,0.0,0.0,3350.0,16644.0,0.0,960.0,1476.0,0.0,2334.0,139529.0,-47829.0
196445.0,178730.0,8000.0,1580.0,3780.0,41850.0,50.0,3600.0,1620.0,10100.0,5604.0,254914.0,-58469.0
165288.0,147115.0,0.0,0.0,1750.0,28500.0,10583.0,1680.0,0.0,0.0,16326.0,205954.0,-40666.0
135370.0,170551.0,3165.0,2284.0,7295.0,20400.0,1000.0,2700.0,492.0,5870.0,5886.0,219643.0,-84273.0
389237.0,181917.0,3500.0,1685.0,3770.0,54948.0,950.0,3060.0,1800.0,18000.0,29328.0,298958.0,90279.0
184157.0,194481.0,1300.0,1404.0,21150.0,26220.0,150.0,1080.0,1020.0,200.0,3846.0,250851.0,-66694.0
201890.0,226908.0,0.0,2450.0,2290.0,12318.0,204.0,1500.0,1380.0,0.0,5370.0,252420.0,-50530.0
223295.0,174769.0,6090.0,0.0,3690.0,39660.0,14900.0,3600.0,1500.0,6900.0,3432.0,254541.0,-31246.0
